"Веса (events, search, view, click, cart)",STD (Меньше = Лучше),n_cart Change %,reached_cart Change %
"3, 3, 3, 1, 1",0.009094578412093997,-22.177607608053595,-1.365015569514692
"1, 1, 2, 3, 2",0.009099094023550964,-22.21125345135632,-1.3650389073053915
"3, 3, 2, 3, 3",0.009099238794673023,-22.37904836703724,-1.3652347744079407
"3, 1, 2, 1, 1",0.009099712498457245,-22.169527772694252,-1.364948296393584
"3, 1, 2, 2, 2",0.009099963224181613,-22.24371068264532,-1.3648810234279114
"2, 2, 2, 1, 1",0.009102854285898469,-22.199576911998903,-1.364986279305692
"3, 1, 3, 1, 1",0.00910454704000965,-22.10403947430523,-1.36492495849822
"1, 3, 1, 1, 1",0.009107853333451247,-22.460835409452834,-1.364986279305692
"3, 3, 2, 2, 2",0.009108703283970575,-22.325942888564896,-1.3652494197094718
"1, 3, 3, 3, 3",0.009108908193854444,-22.27969413161271,-1.3646705121587464
"3, 1, 2, 3, 1",0.00910974258176731,-22.166299197564474,-1.3651967915476488
"1, 1, 3, 2, 2",0.009110873010924746,-22.09099326138606,-1.3649775865553524
"3, 2, 3, 3, 2",0.009114193465271085,-22.18848553102054,-1.3650915353456088
"3, 3, 2, 1, 2",0.009119290315515971,-22.320739331526383,-1.3649336513465362
"3, 2, 2, 2, 3",0.009123370236522195,-22.33957856787116,-1.3651441634263568
"2, 1, 3, 1, 3",0.009123494381975666,-22.198233710302603,-1.3648430405045309
"2, 2, 1, 2, 3",0.009125877726312228,-22.52092650062985,-1.3652494197094718
"1, 1, 2, 1, 2",0.009132379676384922,-22.209664368301553,-1.3647904126207941
"2, 1, 2, 3, 3",0.009132905714424796,-22.308691786328644,-1.3652494197094718
"2, 3, 3, 2, 2",0.009145724971900165,-22.222649750325548,-1.3652494197094718
"2, 1, 1, 2, 1",0.009146106847602779,-22.27889252369254,-1.3649336513465362
"3, 2, 3, 1, 2",0.009150011891290779,-22.190016896061916,-1.3651588086580986
"1, 3, 2, 1, 2",0.00915135431119306,-22.346973078414777,-1.3652494197094718
"2, 1, 2, 3, 1",0.009158289382091492,-22.14250187684489,-1.3650915353456088
"2, 3, 2, 1, 2",0.009158381932354916,-22.331899236970706,-1.3651441634263568
"1, 1, 3, 3, 2",0.009162703594972905,-22.07804975629329,-1.3649103134522305
"3, 2, 3, 1, 1",0.009166786879326224,-22.137565467824537,-1.3651588086580986
"2, 3, 3, 3, 2",0.009167813148151587,-22.218427261580484,-1.3649336513465362
"1, 3, 2, 2, 3",0.009168976140841946,-22.43668560019822,-1.3651967915476488
"1, 1, 3, 3, 3",0.009169525263579979,-22.172588058499745,-1.365106180531177
"3, 2, 2, 1, 1",0.009169714164062454,-22.223359411052993,-1.3652494197094718
"3, 1, 3, 1, 2",0.009174010876663197,-22.153881772653573,-1.3648956684287854
"1, 1, 3, 1, 2",0.009175962000472557,-22.091292125202884,-1.3647670745699947
"2, 1, 3, 1, 1",0.00918420096033547,-22.062291833779387,-1.3648723304816055
"1, 1, 2, 2, 1",0.009187829443334307,-22.091173271013346,-1.3647524296625126
"1, 2, 1, 1, 1",0.009189188645743404,-22.380641817384394,-1.3650915353456088
"3, 3, 2, 3, 1",0.009197989959603414,-22.258266576746404,-1.3651967915476488
"3, 3, 1, 2, 2",0.009201823525645369,-22.441775403513432,-1.3651441634263568
"3, 2, 2, 1, 2",0.009204115987141255,-22.288480879595,-1.3652494197094718
"1, 1, 2, 2, 2",0.009213603635294939,-22.211210616775386,-1.3648810234279114
"1, 3, 3, 1, 2",0.009214612042136196,-22.205456122477806,-1.3648956684287854
"2, 2, 1, 2, 2",0.009217907889383892,-22.439258840544216,-1.3651967915476488
"2, 1, 2, 1, 1",0.00922194100888161,-22.149217682799772,-1.365000924398913
